id	truth_id	hashtag_id
992	12351	480
993	12353	481
994	12354	479
995	12358	101
996	12380	40
997	12380	482
998	12444	52
999	12445	483
1000	12446	110
1001	12446	484
1002	12446	485
1003	12446	48
1004	12501	38
1005	12786	486
1006	12787	38
1007	12811	487
1008	12837	89
1009	12846	488
1010	12846	486
1011	13017	489
1012	13037	232
1013	13068	490
1014	13106	491
1015	13146	492
1016	13153	493
1017	13155	493
1018	13172	101
1019	13172	62
1020	13172	352
1021	13234	42
1022	13262	494
1023	13267	89
1024	13283	493
1025	13302	89
1026	13350	495
1027	13357	496
1028	13358	496
1029	13369	38
1030	13383	52
1031	13383	497
1032	13388	110
1033	13409	493
1034	13411	493
1035	13417	493
1036	13418	110
1037	13419	110
1038	13429	110
1039	13429	498
1040	13527	499
1041	13543	40
1042	13550	43
1043	13592	87
1044	13608	500
1045	13608	501
1046	13613	89
1047	13616	89
1048	13650	502
1049	13674	87
1050	13682	503
1051	13682	51
1052	13684	503
1053	13685	504
1054	13690	503
1055	13695	503
1056	13711	505
1057	13713	506
1058	13717	503
1059	13728	505
1060	13731	505
1061	13739	204
1062	13745	503
1063	13760	505
1064	13763	507
1065	13773	508
1066	13835	509
1067	13875	510
1068	13893	510
1069	13894	511
1070	13902	510
1071	13905	510
1072	13906	510
1073	13912	512
1074	13913	513
1075	13915	514
1076	13917	514
1077	13918	514
1078	13920	515
1079	13923	516
1080	13926	512
1081	13927	517
1082	13929	518
1083	13929	519
1084	13931	518
1085	13932	518
1086	13932	519
1087	13933	519
1088	13935	519
1089	13936	519
1090	13937	519
1091	13939	518
1092	13940	519
1093	13941	519
1094	13942	520
1095	13943	519
1096	13949	521
1097	13954	202
1098	13954	522
1099	13956	523
1100	13972	524
1101	13978	525
1102	14006	526
1103	14011	44
1104	14011	374
1105	14011	527
1106	14063	528
1107	14063	213
1108	14063	529
1109	14063	530
1110	14068	14
1111	14068	531
1112	14068	13
1113	14069	532
1114	14071	13
1134	14130	544
1147	14173	43
1148	14173	548
1149	14186	549
1150	14186	550
1151	14186	551
1152	14186	552
1153	14186	553
1154	14208	554
1238	15893	583
1239	15894	583
1240	15895	583
1241	15896	584
1242	15897	584
1243	15898	584
1244	15899	584
1245	15900	584
1246	15901	585
1247	15902	24
1248	15903	24
1249	15903	585
1250	15904	585
1251	15905	157
1252	15905	24
1253	15905	586
1254	15905	587
1255	15905	588
1256	15908	589
1257	15909	590
1258	15910	590
1259	15912	591
1260	15914	584
1261	15915	314
1262	15915	592
1271	15939	598
1272	15939	599
1274	15945	13
1275	15945	598
1276	15945	599
1279	15953	591
1280	15954	591
1281	15957	601
1282	15958	601
1283	15963	599
1284	15964	157
1285	15964	588
1286	15965	157
1287	15965	588
1288	15966	591
1289	15980	590
1290	15981	590
1291	15982	594
1292	15983	354
1293	15986	157
1294	15987	595
1295	15989	595
1296	15990	602
1297	15990	24
1298	15990	596
1299	15992	591
1300	15993	591
1301	15995	597
1302	15998	584
1303	15998	596
1304	16003	157
1305	16003	587
1306	16003	588
1307	16004	598
1308	16004	599
1309	16005	598
1310	16005	599
1311	16006	13
1312	16006	599
1313	16018	599
1314	16025	591
1315	16027	590
1316	16030	596
1317	16033	595
1318	16034	595
1319	16036	597
1320	16038	603
1321	16038	38
1322	16040	591
1323	16041	591
1324	16044	598
1325	16044	599
1326	16045	598
1327	16045	599
1328	16046	598
1329	16046	599
1330	16050	601
1331	16051	601
1332	16064	157
1333	16067	599
1387	16497	623
1389	16498	258
1391	16499	625
1392	16499	623
1393	16501	626
1394	16501	623
1396	16502	623
1399	16505	628
1402	16506	630
1403	16507	631
1417	16777	570
1418	16778	570
1419	16779	570
1420	16780	570
1423	16783	570
1424	16784	570
1426	16786	570
1427	16788	570
1428	16789	570
1429	16790	570
1430	16792	570
1431	16793	570
1432	16794	570
1433	16795	570
1434	16796	570
1435	16797	570
1436	16798	570
1437	16799	570
1438	16800	570
1439	16802	570
1440	16803	570
1457	16823	570
1463	16835	633
1464	16835	570
1466	16839	634
1467	16842	570
1468	16848	570
1469	16852	635
1472	16857	533
1473	16860	570
1474	16864	570
1475	16867	570
1478	16877	570
1479	16879	570
1480	16882	636
1482	16882	38
1484	16886	570
1485	16887	637
1486	16888	570
1489	16896	639
1491	16901	213
1492	16909	641
1495	16912	643
1498	16915	570
1500	16917	570
1503	16926	48
1506	16927	570
1511	16939	648
1512	16939	169
1513	16939	649
1514	16941	570
1115	14072	533
1116	14097	534
1117	14097	535
1118	14097	536
1119	14097	537
1120	14097	202
1121	14110	538
1122	14114	539
1123	14114	538
1124	14114	540
1125	14114	541
1126	14115	538
1127	14116	538
1128	14118	542
1129	14119	543
1130	14119	87
1131	14121	544
1132	14124	544
1133	14125	544
1135	14134	544
1136	14134	40
1137	14134	545
1138	14135	544
1139	14136	544
1140	14137	544
1141	14139	544
1142	14140	544
1143	14141	544
1144	14142	546
1145	14142	544
1146	14157	547
1155	14259	555
1156	14259	556
1157	14259	557
1158	14343	555
1159	14343	556
1160	14343	557
1161	14361	555
1162	14361	556
1163	14361	557
1164	14469	558
1165	14531	559
1166	14548	186
1167	14587	280
1168	14648	280
